dataset,seed,train_frac,classifier,best_params,val_acc,train_acc,test_acc
gender,0,0.2,KNN,{'n_neighbors': 7},0.5862560626710654,0.7095032764064781,0.5928311944048347
gender,0,0.5,LogisticRegression,{'C': 1},0.6095553718447162,0.6095146263954152,0.6094791878861954
gender,0,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7612515199326829,0.9543010022543934,0.7637672302573505
gender,0,0.5,KNN,{'n_neighbors': 7},0.6062416417016879,0.7181193470407692,0.604101310518096
gender,0,0.8,LogisticRegression,{'C': 10},0.6094639901540551,0.6095149174553325,0.6094927683845998
gender,0,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7672113058608836,0.9332937232101176,0.7703198207374211
gender,0,0.8,KNN,{'n_neighbors': 7},0.6080634893689258,0.7249586215677121,0.6095946221226319
gender,42,0.2,LogisticRegression,{'C': 1},0.6099548360005868,0.6099548433096799,0.6091532559244924
gender,42,0.2,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7459004916423113,0.9862832309102638,0.7488880966931486
gender,42,0.2,KNN,{'n_neighbors': 7},0.5907036517100848,0.7102841815774285,0.5928566578393427
gender,42,0.5,LogisticRegression,{'C': 10},0.6094874684304825,0.609528207078252,0.6093841243973653
gender,42,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7604503535259373,0.9563788467284136,0.7625993073945814
gender,42,0.5,KNN,{'n_neighbors': 7},0.6034576828727864,0.7192872857647282,0.6045358864670334
gender,42,0.8,LogisticRegression,{'C': 0.01},0.6094300386198701,0.6094300386198701,0.6095606708766211
gender,42,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7658787081441243,0.9334549929974961,0.7693012833570992
gender,42,0.8,KNN,{'n_neighbors': 7},0.6100581420022917,0.7238636845902474,0.6132613566917906
gender,99,0.2,LogisticRegression,{'C': 0.01},0.6096153293029365,0.6095134621260992,0.6093739390235622
gender,99,0.2,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7463754413440087,0.9868943740875293,0.7488201942011272
gender,99,0.2,KNN,{'n_neighbors': 7},0.5949138552406061,0.7089260856279496,0.5923728525836898
gender,99,0.5,LogisticRegression,{'C': 0.1},0.609541782124189,0.6095010457125785,0.6095606708766211
gender,99,0.5,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7598935217361429,0.9527120623624956,0.7627079513818157
gender,99,0.5,KNN,{'n_neighbors': 7},0.6020452649281249,0.7192058016677079,0.6035580905819243
gender,99,0.8,LogisticRegression,{'C': 0.01},0.6094130628527776,0.6094470143869626,0.60996808582875
gender,99,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.7675423333191869,0.9339727538938166,0.7674339648265092
gender,99,0.8,KNN,{'n_neighbors': 7},0.609141450579298,0.722743283962144,0.6150947239763699
