,dataset,seed,train_frac,classifier,best_params,val_acc,train_acc,test_acc
55,bankrupt,0,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 100}",0.9728518177857385,1.0,0.968841642228739
56,bankrupt,0,0.2,KNN,{'n_neighbors': 3},0.967721998999532,0.9699192956713133,0.9660923753665689
57,bankrupt,0,0.5,LogisticRegression,{'C': 0.01},0.9633334675304835,0.9650924024640657,0.964516129032258
58,bankrupt,0,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.9700779066070417,1.0,0.9718475073313783
59,bankrupt,0,0.5,KNN,{'n_neighbors': 7},0.9680259805682526,0.9686124963332355,0.9674486803519061
60,bankrupt,0,0.8,LogisticRegression,{'C': 0.01},0.9637026191165937,0.9679193400549955,0.967741935483871
61,bankrupt,0,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 50}",0.9706697809234835,1.0,0.969208211143695
62,bankrupt,0,0.8,KNN,{'n_neighbors': 7},0.9675527017609219,0.968102658111824,0.968475073313783
63,bankrupt,42,0.2,LogisticRegression,{'C': 0.01},0.9574462248471058,0.9633162142333089,0.9567448680351907
64,bankrupt,42,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9655161285117232,0.9992663242846662,0.968291788856305
65,bankrupt,42,0.2,KNN,{'n_neighbors': 5},0.9677187716835295,0.9691856199559794,0.9664589442815249
66,bankrupt,42,0.5,LogisticRegression,{'C': 0.01},0.9630384918717819,0.9642123789967733,0.9636363636363636
67,bankrupt,42,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.9706657933529055,1.0,0.967741935483871
68,bankrupt,42,0.5,KNN,{'n_neighbors': 7},0.9677325533382057,0.9680258140217073,0.967741935483871
69,bankrupt,42,0.8,LogisticRegression,{'C': 0.01},0.9605866487326761,0.9611365719523373,0.9596774193548387
70,bankrupt,42,0.8,RandomForest,"{'max_depth': 20, 'n_estimators': 100}",0.9693856136575726,1.0,0.9706744868035191
71,bankrupt,42,0.8,KNN,{'n_neighbors': 7},0.9677360534294221,0.969019248395967,0.967741935483871
72,bankrupt,99,0.2,LogisticRegression,{'C': 0.01},0.9611140694841135,0.9655172413793104,0.9633431085043989
73,bankrupt,99,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9691855868067322,0.9992663242846662,0.969574780058651
74,bankrupt,99,0.2,KNN,{'n_neighbors': 5},0.9677187716835295,0.966984592809978,0.9664589442815249
75,bankrupt,99,0.5,LogisticRegression,{'C': 0.01},0.9647982810377362,0.9674391317101789,0.9656891495601173
76,bankrupt,99,0.5,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9686123188854617,0.9976532707538868,0.9718475073313783
77,bankrupt,99,0.5,KNN,{'n_neighbors': 7},0.9677325533382057,0.9680258140217073,0.9668621700879766
78,bankrupt,99,0.8,LogisticRegression,{'C': 0.01},0.964803333915946,0.9635197066911091,0.9618768328445748
79,bankrupt,99,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9688361634404231,1.0,0.9721407624633431
80,bankrupt,99,0.8,KNN,{'n_neighbors': 5},0.9679194050979222,0.9688359303391384,0.9626099706744868
